step,throttle,steer
2,0.0,0.0
12,0.0,0.0
22,0.0,0.0
32,0.0,0.0
42,0.0,0.0
52,0.0,0.0
62,0.0,0.0
72,0.0,0.0
82,0.0,0.0
92,0.0,0.0
102,0.0,0.0
112,0.0,0.0
122,0.0,0.0
132,0.0,0.0
142,0.0,0.0
152,0.0,0.0
162,0.0,0.0
172,0.0,0.0
182,0.0,0.0
192,0.0,0.0
202,0.0,0.0
212,0.0,0.0
222,0.0,0.0
232,0.0,0.0
242,0.0,0.0
252,0.0,0.0
262,0.0,0.0
272,0.0,0.0
282,0.0,0.0
292,0.0,0.0
302,0.0,0.0
312,0.0,0.0
322,0.0,0.0
332,0.0,0.0
342,0.0,0.0
352,0.0,0.0
362,0.0,0.0
372,0.0,0.0
382,0.0,0.0
392,0.0,0.0
402,0.0,0.0
412,0.0,0.0
422,0.0,0.0
432,0.0,0.0
442,0.0,0.0
452,0.0,0.0
462,0.0,0.0
472,0.0,0.0
482,0.0,0.0
492,0.0,0.0
502,0.0,0.0
512,0.0,0.0
522,0.0,0.0
532,0.0,0.0
542,0.0,0.0
552,0.0,0.0
562,0.0,0.0
572,0.0,0.0
582,0.0,0.0
592,0.0,0.0
602,0.0,0.0
612,0.0,0.0
622,0.0,0.0
632,0.0,0.0
642,0.0,0.0
652,0.0,0.0
662,0.0,0.0
672,0.0,0.0
682,0.0,0.0
692,0.0,0.0
702,0.0,0.0
712,0.0,0.0
722,0.0,0.0
732,0.0,0.0
742,0.0,0.0
752,0.0,0.0
762,0.0,0.0
772,0.0,0.0
782,0.0,0.0
792,0.0,0.0
802,0.0,0.0
812,0.0,0.0
822,0.0,0.0
832,0.0,0.0
842,0.0,0.0
852,0.0,0.0
862,0.0,0.0
872,0.0,0.0
882,0.0,0.0
892,0.0,0.0
902,0.0,0.0
912,0.0,0.0
922,0.0,0.0
932,0.0,0.0
942,0.0,0.0
952,0.0,0.0
962,0.0,0.0
972,0.0,0.0
982,0.0,0.0
992,0.0,0.0
